Age_old_vs_young.baseMean	Age_old_vs_young.log2FoldChange	Age_old_vs_young.lfcSE	Age_old_vs_young.stat	Age_old_vs_young.pvalue	Age_old_vs_young.padj	Regime_Sel_vs_Cont.baseMean	Regime_Sel_vs_Cont.log2FoldChange	Regime_Sel_vs_Cont.lfcSE	Regime_Sel_vs_Cont.stat	Regime_Sel_vs_Cont.pvalue	Regime_Sel_vs_Cont.padj	Ageold.RegimeSel.baseMean	Ageold.RegimeSel.log2FoldChange	Ageold.RegimeSel.lfcSE	Ageold.RegimeSel.stat	Ageold.RegimeSel.pvalue	Ageold.RegimeSel.padj
G6_DM	8.59125738246052	-0.429582318455944	0.550157839263215	-0.780834676519835	0.434899736127253	0.588892251940328	8.59125738246052	0.0687025224587277	0.527073198788256	0.130347212904536	0.896291728170148	0.944632197377675	8.59125738246052	0.934118596822931	0.750428885821453	1.24477963798049	0.213212762864129	0.427602588697438
GTWIN	145.272463799799	-0.25990017955016	0.149394604572547	-1.73968919623165	0.0819136074155397	0.182437588751773	145.272463799799	-0.597540204356096	0.15110235991903	-3.95453919234813	7.66823016040312e-05	0.00137102485474203	145.272463799799	0.468027811848692	0.214108777552863	2.18593472532034	0.0288203812460827	0.133682698634049
GYPSY10	52.8915381483207	-0.312603345493971	0.16565092115222	-1.88712108160698	0.0591440417866483	0.144467038697553	52.8915381483207	-1.01990309769063	0.176905610245413	-5.76523885407458	8.15422735679974e-09	1.09569277699513e-06	52.8915381483207	0.614794635000141	0.249697827724915	2.46215451933143	0.0138105153400371	0.0871825600340834
GYPSY2	74.5472890639857	-0.305833524564893	0.196033382336382	-1.56010941054978	0.118734028086784	0.238035579694639	74.5472890639857	-0.672069092483768	0.19891590636499	-3.3786593780519	0.000728401971136498	0.00767280804729353	74.5472890639857	0.527573925200846	0.2820582352551	1.87044326049795	0.0614222892764052	0.211754403947883
GYPSY3	66.5954766580096	0.130772623832187	0.22687865160662	0.576398982037901	0.564345532323167	0.703014786711634	66.5954766580096	-0.620136387616541	0.233541055176088	-2.65536347409651	0.00792229948066133	0.0424935191073826	66.5954766580096	0.317067615152075	0.326601330798794	0.970809317820592	0.331643241714227	0.553807870476896
GYPSY4	37.325974576487	-0.32463016022774	0.206089126069403	-1.57519305564146	0.1152118896335	0.232962884272696	37.325974576487	-1.06720604885441	0.21997386842698	-4.85151284780295	1.22523271316315e-06	5.87825268995814e-05	37.325974576487	0.727918093779243	0.309030004547226	2.35549326301098	0.0184981324610343	0.102850741559831
GYPSY5	29.0540060933492	-0.348083661462863	0.295172986352425	-1.17925310769213	0.238297404493402	0.387505499635905	29.0540060933492	-1.41242292665764	0.314554622373254	-4.49023103205791	7.11459629830922e-06	0.000214160850235941	29.0540060933492	0.643427684283759	0.443700944910557	1.45013818803894	0.147019987806779	0.34728881701989
GYPSY6	40.6455092069098	-0.408957734465975	0.271865841814344	-1.50426302817862	0.132513654697305	0.257565929246785	40.6455092069098	-0.622070349740775	0.27352191230869	-2.27429804248634	0.0229480727871948	0.090729896642491	40.6455092069098	0.769092245883991	0.387650861866556	1.98398177726416	0.0472578714200663	0.179865590750097
GYPSY7	29.6452372874514	-0.140972076635224	0.282456049578409	-0.499093847859295	0.617713271427969	0.747263738012317	29.6452372874514	-1.42062541024731	0.307018688623707	-4.62716265454604	3.7070936909246e-06	0.000128165143680401	29.6452372874514	0.716518215779301	0.426412252936308	1.68034152594186	0.0928908859507284	0.269722874240204
GYPSY9	25.5354943544395	0.562862817291208	0.311924000234921	1.80448704449576	0.0711549883421537	0.165736648768396	25.5354943544395	-0.962933348945691	0.343074573202454	-2.8067756230289	0.00500400832858837	0.0304940944156307	25.5354943544395	0.695327732926591	0.460083184393539	1.51130872962276	0.130709810848424	0.324849711147986
HEL	16.2081721472229	-0.227626632904612	0.261099751715217	-0.871799499652093	0.383317767612631	0.539188389369115	16.2081721472229	-1.15762878503228	0.292634573298912	-3.95588522566615	7.625176580127e-05	0.00136529325253546	16.2081721472229	0.557876444720237	0.409734545437338	1.36155579492273	0.173338113930849	0.381560163451949
HOPPER2	10.0806233854892	-0.230790048282161	0.323998426303836	-0.712318423626333	0.476267617924419	0.626418065282157	10.0806233854892	-0.611971484859882	0.33683995784574	-1.81680192805433	0.0692474475042477	0.194561593181799	10.0806233854892	0.228771449035265	0.485214527565018	0.471485159736093	0.637294314857248	0.796708676237494
INE1	7.06200457952236	-0.334892718132781	0.401365503154339	-0.834383412378125	0.404064961500319	0.559328018371021	7.06200457952236	-0.21933238868205	0.389387259301413	-0.563275719589663	0.573247149034964	0.739333400012045	7.06200457952236	0.282845416200985	0.568291306688334	0.497712023520544	0.618687032272608	0.7840800305026
INVADER	16.055737381019	-0.358732741085588	0.263140013484599	-1.36327704910824	0.172795212388816	0.309770565454778	16.055737381019	-0.865517168483256	0.279021819974327	-3.10196947522919	0.0019223777979557	0.0151813931273071	16.055737381019	0.791604078941847	0.392299231101368	2.017857839587	0.0436060690090308	0.171577681861215
INVADER2	22.2332238262043	-0.331430172285076	0.228726298129686	-1.44902521045987	0.147330542291237	0.278302894476207	22.2332238262043	-0.657421199100727	0.235842587917831	-2.78754233874747	0.00531095138802025	0.0319818858603988	22.2332238262043	0.650602303030915	0.334371266867555	1.94574823705956	0.0516849892292493	0.189880888092721
