start	MeanSel	MeanCont	dFreq_mean	dFreq_med	totalSmore	chanceSmore	chanceCmore	chanceEqual	Direction
0.028943308	0.0285859375	0.0292403645833333	-0.000654427083333333	-0.00260416666666667	451	0.451	0.541	0.008	C>S
0.032267499	0.0325359375	0.03172578125	0.00081015625	-0.000520833333333331	492	0.492	0.504	0.004	C>S
0.03386124	0.0328546875	0.0346713541666667	-0.00181666666666667	-0.00247395833333333	465	0.465	0.53	0.005	C>S
0.038847545	0.0389223958333333	0.03981640625	-0.000894010416666666	-0.000520833333333331	491	0.491	0.506	0.003	C>S
0.039289337	0.0396755208333333	0.038775	0.000900520833333333	-0.00234375	482	0.482	0.518	0	C>S
0.039390748	0.0387911458333333	0.0399138020833333	-0.00112265625	-0.000781250000000004	489	0.489	0.51	0.001	C>S
0.039934363	0.0393078125	0.0379869791666667	0.00132083333333333	-0.000520833333333338	488	0.488	0.507	0.005	C>S
0.040227669	0.0399494791666667	0.03989296875	5.65104166666666e-05	0.000130208333333333	500	0.5	0.495	0.005	Same
0.041266292	0.0406442708333333	0.04094453125	-0.000300260416666667	-0.000781250000000001	489	0.489	0.506	0.005	C>S
0.042469817	0.0432916666666667	0.0440666666666667	-0.000775	-0.00143229166666667	485	0.485	0.512	0.003	C>S
0.043049142	0.0422651041666667	0.04346796875	-0.00120286458333333	-0.00338541666666667	463	0.463	0.536	0.001	C>S
0.043489488	0.0448614583333333	0.0434221354166667	0.00143932291666667	0.000520833333333332	505	0.505	0.491	0.004	S>C
0.044010734	0.0457546875	0.04388515625	0.00186953125	0.000260416666666673	504	0.504	0.493	0.003	S>C
0.044294076	0.0451255208333333	0.0440846354166667	0.00104088541666667	-0.000781249999999997	485	0.485	0.51	0.005	C>S
0.045840808	0.0458109375	0.04680859375	-0.00099765625	-0.00286458333333333	467	0.467	0.528	0.005	C>S
0.045900107	0.0447838541666667	0.04626953125	-0.00148567708333333	-0.003125	471	0.471	0.526	0.003	C>S
0.047142602	0.0480661458333333	0.0468981770833333	0.00116796875	0.000520833333333332	502	0.502	0.498	0	S>C
0.047730765	0.0496526041666667	0.0484450520833333	0.00120755208333333	0.0015625	513	0.513	0.486	0.001	S>C
0.049876627	0.0498604166666667	0.04914140625	0.000719010416666667	-0.000130208333333336	496	0.496	0.5	0.004	Same
0.049878979	0.0478828125	0.0507216145833333	-0.00283880208333333	-0.0015625	481	0.481	0.517	0.002	C>S
0.050113114	0.0511458333333333	0.0499885416666667	0.00115729166666667	0.000520833333333332	507	0.507	0.491	0.002	S>C
0.05023462	0.0521625	0.0498174479166667	0.00234505208333333	0	499	0.499	0.498	0.003	Same
0.050242394	0.0498609375	0.05240625	-0.0025453125	-0.00260416666666667	469	0.469	0.529	0.002	C>S
0.051264475	0.0534072916666667	0.0523966145833333	0.00101067708333333	-0.000520833333333331	495	0.495	0.503	0.002	C>S
0.053166512	0.051784375	0.0524768229166667	-0.000692447916666666	-0.00286458333333334	478	0.478	0.519	0.003	C>S
0.055263389	0.0563151041666667	0.0562372395833333	7.7864583333333e-05	-0.000520833333333333	493	0.493	0.506	0.001	C>S
0.056032171	0.0541604166666667	0.0571138020833333	-0.00295338541666667	-0.003125	468	0.468	0.531	0.001	C>S
0.058464655	0.0597244791666667	0.0581807291666667	0.00154375	0.000390624999999999	502	0.502	0.497	0.001	S>C
0.059732623	0.0584375	0.06114453125	-0.00270703125	-0.002734375	475	0.475	0.524	0.001	C>S
0.064583333	0.0643151041666667	0.0645669270833333	-0.000251822916666666	-0.000781249999999999	494	0.494	0.505	0.001	C>S
0.064900099	0.0637041666666667	0.0649033854166667	-0.00119921875	-0.00286458333333334	471	0.471	0.526	0.003	C>S
0.064901843	0.0659072916666667	0.0681127604166667	-0.00220546875	-0.004296875	468	0.468	0.531	0.001	C>S
0.065207148	0.0648828125	0.0651502604166667	-0.000267447916666666	-0.000130208333333329	497	0.497	0.5	0.003	Same
0.066101652	0.0672	0.0663315104166667	0.000868489583333333	0.000130208333333335	500	0.5	0.496	0.004	Same
0.066256251	0.0649515625	0.066790625	-0.0018390625	-0.00325520833333333	475	0.475	0.525	0	C>S
0.066481013	0.06699375	0.0660348958333333	0.000958854166666666	-0.00104166666666666	488	0.488	0.51	0.002	C>S
0.069125101	0.0701588541666667	0.067609375	0.00254947916666667	0.00247395833333333	527	0.527	0.471	0.002	S>C
0.070268034	0.0728369791666667	0.0701151041666667	0.002721875	0.00143229166666667	515	0.515	0.483	0.002	S>C
0.070869081	0.0712734375	0.0699979166666667	0.00127552083333333	0.00130208333333334	508	0.508	0.491	0.001	S>C
0.072001216	0.0720651041666667	0.06944375	0.00262135416666667	0.00260416666666666	520	0.52	0.478	0.002	S>C
0.078385906	0.0777645833333333	0.0773622395833333	0.00040234375	-0.0015625	487	0.487	0.511	0.002	C>S
0.07891631	0.0796807291666667	0.0788341145833333	0.000846614583333333	0	499	0.499	0.498	0.003	Same
0.079705675	0.08086875	0.08003125	0.0008375	0.00182291666666667	509	0.509	0.49	0.001	S>C
0.081120362	0.0799953125	0.0801434895833333	-0.000148177083333334	-0.00130208333333333	491	0.491	0.507	0.002	C>S
0.081233304	0.0816135416666667	0.0798838541666667	0.0017296875	-0.000651041666666664	494	0.494	0.506	0	C>S
0.08901289	0.0882197916666667	0.0906127604166667	-0.00239296875	-0.00247395833333333	478	0.478	0.522	0	C>S
0.089251431	0.0900083333333333	0.0903354166666667	-0.000327083333333333	-0.00117187499999999	486	0.486	0.511	0.003	C>S
0.092303933	0.0933619791666667	0.0927744791666667	0.0005875	0.00104166666666666	504	0.504	0.494	0.002	S>C
0.097026101	0.0963713541666667	0.0965177083333333	-0.000146354166666667	-0.00234375	487	0.487	0.513	0	C>S
0.098361336	0.100121875	0.0952015625	0.0049203125	0.00559895833333334	529	0.529	0.47	0.001	S>C
0.103013519	0.102947395833333	0.102290364583333	0.00065703125	-0.00104166666666666	491	0.491	0.508	0.001	C>S
0.115699178	0.116909895833333	0.118986458333333	-0.0020765625	-0.00247395833333333	488	0.488	0.511	0.001	C>S
0.133701378	0.132690625	0.134830729166667	-0.00214010416666667	-0.00416666666666667	483	0.483	0.515	0.002	C>S
0.163982737	0.162255729166667	0.166271875	-0.00401614583333333	-0.00598958333333334	474	0.474	0.526	0	C>S
0.169721559	0.1677421875	0.16871796875	-0.00097578125	-0.00338541666666667	487	0.487	0.512	0.001	C>S
0.180798208	0.1810765625	0.181446875	-0.0003703125	-0.00273437500000001	481	0.481	0.517	0.002	C>S
0.203472661	0.2043875	0.204677864583333	-0.000290364583333333	-0.00104166666666666	496	0.496	0.504	0	C>S
0.203608654	0.203172395833333	0.204628385416667	-0.00145598958333333	-0.005078125	478	0.478	0.521	0.001	C>S
0.206207619	0.2050359375	0.206145052083333	-0.00110911458333333	-0.00286458333333335	489	0.489	0.511	0	C>S
0.210861139	0.212964583333333	0.216950260416667	-0.00398567708333333	-0.00729166666666667	468	0.468	0.532	0	C>S
0.230473422	0.2303640625	0.230233333333333	0.000130729166666667	0.000260416666666652	500	0.5	0.498	0.002	Same
0.232203123	0.235075	0.228829427083333	0.00624557291666667	0.00390625	516	0.516	0.484	0	S>C
0.259964497	0.2593171875	0.2606140625	-0.001296875	-0.00195312500000001	491	0.491	0.509	0	C>S
0.271247672	0.272984375	0.2704171875	0.0025671875	0.00546875000000002	521	0.521	0.479	0	S>C
0.285167026	0.286871875	0.28544453125	0.00142734375	0.000390624999999978	501	0.501	0.499	0	S>C
0.30127772	0.295836458333333	0.2998015625	-0.00396510416666667	-0.00768229166666669	464	0.464	0.536	0	C>S
0.339695919	0.3406625	0.339363802083333	0.00129869791666667	0.00533854166666664	519	0.519	0.48	0.001	S>C
0.343356694	0.3373921875	0.343052083333333	-0.00565989583333333	-0.01015625	466	0.466	0.533	0.001	C>S
0.343700728	0.344547395833333	0.346871354166667	-0.00232395833333333	-0.00520833333333331	478	0.478	0.522	0	C>S
0.371868338	0.369511458333333	0.36845390625	0.00105755208333333	0.00286458333333331	514	0.514	0.485	0.001	S>C
0.381922383	0.381479166666667	0.383022916666667	-0.00154375	-0.00104166666666664	494	0.494	0.506	0	C>S
0.399414475	0.4047046875	0.398208854166667	0.00649583333333333	0.00872395833333334	526	0.526	0.474	0	S>C
0.400260348	0.399985416666667	0.3967578125	0.00322760416666667	0.00234374999999998	507	0.507	0.492	0.001	S>C
0.408076897	0.4097265625	0.40532421875	0.00440234375	0.00182291666666667	509	0.509	0.489	0.002	S>C
0.501616326	0.498969791666667	0.501801302083333	-0.00283151041666667	-0.00169270833333335	494	0.494	0.506	0	C>S
0.51	0.5110953125	0.514602083333333	-0.00350677083333333	-0.00104166666666666	494	0.494	0.505	0.001	C>S
0.513517813	0.51315	0.515156770833333	-0.00200677083333333	-0.00325520833333334	489	0.489	0.511	0	C>S
0.58774894	0.586808854166667	0.588094270833333	-0.00128541666666667	-0.000911458333333282	496	0.496	0.504	0	C>S
0.68145031	0.682131770833333	0.677877864583333	0.00425390625	0.00312499999999993	509	0.509	0.491	0	S>C
0.729833811	0.7254046875	0.73256171875	-0.00715703125	-0.00664062500000001	476	0.476	0.524	0	C>S
0.738917284	0.7395375	0.740810416666667	-0.00127291666666667	-0.000130208333333326	499	0.499	0.5	0.001	Same
0.806629179	0.808751041666667	0.806224479166667	0.0025265625	0.00403645833333333	517	0.517	0.481	0.002	S>C
0.841421553	0.837289583333333	0.840093229166667	-0.00280364583333334	-0.000781249999999956	492	0.492	0.505	0.003	C>S
0.850355921	0.848857291666667	0.851678645833333	-0.00282135416666667	0.00117187499999999	503	0.503	0.495	0.002	S>C
0.85825607	0.8573015625	0.860138020833333	-0.00283645833333333	-0.00117187499999999	493	0.493	0.506	0.001	C>S
0.872349726	0.875247395833333	0.87299375	0.00225364583333333	0.000781250000000011	505	0.505	0.493	0.002	S>C
0.877218834	0.876465625	0.8780484375	-0.0015828125	-0.00143229166666659	492	0.492	0.508	0	C>S
0.88573934	0.88644375	0.884407552083333	0.00203619791666667	0.001953125	509	0.509	0.488	0.003	S>C
0.932031449	0.932376041666667	0.932300260416667	7.57812500000003e-05	0.00234374999999998	513	0.513	0.484	0.003	S>C
