start	MeanSel	MeanCont	dFreq_mean	dFreq_med	totalSmore	chanceSmore	chanceCmore	chanceEqual	Direction
0.028943308	0.0293272727272727	0.0292151515151515	0.000112121212121212	0	495	0.495	0.477	0.028	Same
0.032267499	0.0327022727272727	0.0316443181818182	0.00105795454545455	-0.000757575757575758	469	0.469	0.509	0.022	C>S
0.03386124	0.0338765151515152	0.0339371212121212	-6.06060606060606e-05	-0.00265151515151515	456	0.456	0.53	0.014	C>S
0.038847545	0.0388439393939394	0.0389386363636364	-9.46969696969701e-05	-0.0018939393939394	477	0.477	0.516	0.007	C>S
0.039289337	0.0377681818181818	0.0390068181818182	-0.00123863636363636	-0.00227272727272727	461	0.461	0.524	0.015	C>S
0.039390748	0.041669696969697	0.0393700757575758	0.00229962121212121	0.000189393939393948	501	0.501	0.492	0.007	S>C
0.039934363	0.0396939393939394	0.0406886363636364	-0.00099469696969697	-0.00227272727272727	461	0.461	0.523	0.016	C>S
0.040227669	0.0405265151515152	0.0393977272727273	0.00112878787878788	-0.00189393939393939	477	0.477	0.513	0.01	C>S
0.041266292	0.0406780303030303	0.0400549242424242	0.00062310606060606	0	496	0.496	0.494	0.01	Same
0.042469817	0.0430818181818182	0.042355303030303	0.000726515151515151	-0.00151515151515151	485	0.485	0.512	0.003	C>S
0.043049142	0.0443606060606061	0.0436806818181818	0.000679924242424242	-0.000378787878787878	485	0.485	0.503	0.012	C>S
0.043489488	0.0438689393939394	0.0425079545454545	0.00136098484848485	-0.00113636363636364	476	0.476	0.509	0.015	C>S
0.044010734	0.0461090909090909	0.0432132575757576	0.00289583333333333	-0.000189393939393937	496	0.496	0.5	0.004	Same
0.044294076	0.043544696969697	0.0442041666666667	-0.000659469696969697	-0.00037878787878788	487	0.487	0.504	0.009	C>S
0.045840808	0.0446015151515151	0.0445973484848485	4.1666666666667e-06	-0.00378787878787879	460	0.46	0.535	0.005	C>S
0.045900107	0.0460659090909091	0.0460049242424242	6.09848484848481e-05	-0.00265151515151515	474	0.474	0.521	0.005	C>S
0.047142602	0.0489583333333333	0.0481045454545455	0.000853787878787879	0	499	0.499	0.498	0.003	Same
0.047730765	0.0491060606060606	0.0477352272727273	0.00137083333333333	-0.000757575757575756	490	0.49	0.505	0.005	C>S
0.049876627	0.0502833333333333	0.0494397727272727	0.000843560606060606	0.000568181818181818	502	0.502	0.495	0.003	S>C
0.049878979	0.0493257575757576	0.0496261363636364	-0.000300378787878788	-0.00113636363636363	490	0.49	0.504	0.006	C>S
0.050113114	0.0502348484848485	0.0487943181818182	0.0014405303030303	0.000946969696969696	505	0.505	0.49	0.005	S>C
0.05023462	0.0487325757575758	0.0498916666666667	-0.00115909090909091	-0.00113636363636364	484	0.484	0.508	0.008	C>S
0.050242394	0.0497893939393939	0.0525840909090909	-0.00279469696969697	-0.00454545454545455	460	0.46	0.537	0.003	C>S
0.051264475	0.0509628787878788	0.0512636363636364	-0.000300757575757576	-0.00303030303030304	473	0.473	0.523	0.004	C>S
0.053166512	0.0513575757575758	0.0515276515151515	-0.000170075757575758	-0.00151515151515151	482	0.482	0.512	0.006	C>S
0.055263389	0.0537757575757576	0.0535734848484848	0.000202272727272727	-0.00265151515151515	473	0.473	0.522	0.005	C>S
0.056032171	0.0561348484848485	0.0556549242424242	0.000479924242424242	0	498	0.498	0.498	0.004	Same
0.058464655	0.0584	0.0571390151515151	0.00126098484848485	-0.00151515151515152	485	0.485	0.511	0.004	C>S
0.059732623	0.0604954545454545	0.0586189393939394	0.00187651515151515	0	498	0.498	0.496	0.006	Same
0.064583333	0.0624984848484848	0.0632886363636364	-0.000790151515151516	-0.00208333333333334	485	0.485	0.512	0.003	C>S
0.064900099	0.0647045454545455	0.064494696969697	0.000209848484848484	-0.000946969696969697	493	0.493	0.506	0.001	C>S
0.064901843	0.0647143939393939	0.0655261363636364	-0.000811742424242425	-0.00227272727272727	483	0.483	0.516	0.001	C>S
0.065207148	0.0668712121212121	0.0655215909090909	0.00134962121212121	0	499	0.499	0.497	0.004	Same
0.066101652	0.0673537878787879	0.0664015151515152	0.000952272727272727	-0.000378787878787881	493	0.493	0.502	0.005	C>S
0.066256251	0.0644613636363636	0.0642231060606061	0.000238257575757575	-0.00151515151515151	488	0.488	0.512	0	C>S
0.066481013	0.0667810606060606	0.0672125	-0.000431439393939394	-0.0043560606060606	479	0.479	0.518	0.003	C>S
