start	MeanSel	MeanCont	dFreq_mean	dFreq_med	totalSmore	chanceSmore	chanceCmore	chanceEqual	Direction
0.028943308	0.0294212121212121	0.0288454545454545	0.000575757575757575	-0.0102272727272727	1323	0.2646	0.645	0.0904	C>S
0.032267499	0.0317818181818182	0.0323444696969697	-0.000562651515151515	-0.0128787878787879	1374	0.2748	0.656	0.0692	C>S
0.03386124	0.0351272727272727	0.0342412878787879	0.000885984848484848	-0.0128787878787879	1485	0.297	0.6386	0.0644	C>S
0.038847545	0.0393757575757576	0.0393608333333333	1.4924242424242e-05	-0.0151515151515152	1542	0.3084	0.651	0.0406	C>S
0.039289337	0.0402060606060606	0.0393920454545455	0.000814015151515151	-0.0147727272727273	1526	0.3052	0.6492	0.0456	C>S
0.039390748	0.0379333333333333	0.0392584848484848	-0.00132515151515152	-0.0151515151515152	1522	0.3044	0.6516	0.044	C>S
0.039934363	0.040109696969697	0.0398033333333333	0.000306363636363636	-0.0151515151515152	1559	0.3118	0.6486	0.0396	C>S
0.040227669	0.0390375757575758	0.0404854545454545	-0.00144787878787879	-0.0162878787878788	1533	0.3066	0.6566	0.0368	C>S
0.041266292	0.0418551515151515	0.0407984848484848	0.00105666666666667	-0.015530303030303	1594	0.3188	0.6418	0.0394	C>S
0.042469817	0.0427660606060606	0.0413468181818182	0.00141924242424242	-0.0147727272727273	1639	0.3278	0.6386	0.0336	C>S
0.043049142	0.0418369696969697	0.0431906060606061	-0.00135363636363636	-0.0181818181818182	1555	0.311	0.6586	0.0304	C>S
0.043489488	0.044929696969697	0.0436993181818182	0.00123037878787879	-0.015530303030303	1660	0.332	0.6362	0.0318	C>S
0.044010734	0.0419448484848485	0.043640303030303	-0.00169545454545455	-0.0181818181818182	1562	0.3124	0.6546	0.033	C>S
0.044294076	0.045089696969697	0.0452006818181818	-0.000110984848484849	-0.0174242424242424	1609	0.3218	0.6476	0.0306	C>S
0.045840808	0.0460084848484848	0.0456534090909091	0.000355075757575757	-0.0168560606060606	1646	0.3292	0.643	0.0278	C>S
0.045900107	0.0465733333333333	0.0463810606060606	0.000192272727272727	-0.0166666666666667	1673	0.3346	0.6402	0.0252	C>S
0.047142602	0.0467078787878788	0.0471327272727273	-0.000424848484848486	-0.0178030303030303	1666	0.3332	0.6418	0.025	C>S
0.047730765	0.0472327272727273	0.047535	-0.000302272727272728	-0.0185606060606061	1653	0.3306	0.6464	0.023	C>S
0.049876627	0.0503181818181818	0.0509362878787879	-0.000618106060606061	-0.0196969696969697	1703	0.3406	0.6438	0.0156	C>S
0.049878979	0.0500521212121212	0.0494460606060606	0.000606060606060606	-0.0185606060606061	1725	0.345	0.6358	0.0192	C>S
0.050113114	0.05242	0.0496962878787879	0.00272371212121212	-0.0178030303030303	1763	0.3526	0.6272	0.0202	C>S
0.05023462	0.0498357575757576	0.0508120454545455	-0.000976287878787879	-0.0181818181818182	1735	0.347	0.6364	0.0166	C>S
0.050242394	0.0516715151515151	0.0494881060606061	0.00218340909090909	-0.0178030303030303	1731	0.3462	0.6338	0.02	C>S
0.051264475	0.0515715151515152	0.0519082575757576	-0.000336742424242425	-0.0196969696969697	1729	0.3458	0.6372	0.017	C>S
0.053166512	0.0529236363636364	0.0534638636363636	-0.000540227272727273	-0.0189393939393939	1809	0.3618	0.623	0.0152	C>S
0.055263389	0.0569666666666667	0.0556714393939394	0.00129522727272727	-0.0178030303030303	1821	0.3642	0.619	0.0168	C>S
0.056032171	0.0558369696969697	0.055902196969697	-6.52272727272734e-05	-0.0204545454545455	1811	0.3622	0.6276	0.0102	C>S
0.058464655	0.0584084848484848	0.057667196969697	0.000741287878787878	-0.0185606060606061	1876	0.3752	0.6158	0.009	C>S
0.059732623	0.0586254545454545	0.0588652272727273	-0.000239772727272728	-0.0223484848484849	1830	0.366	0.6244	0.0096	C>S
0.064583333	0.0645381818181818	0.0637707575757576	0.000767424242424242	-0.0204545454545455	1912	0.3824	0.612	0.0056	C>S
0.064900099	0.0657557575757576	0.0662809848484849	-0.000525227272727274	-0.0208333333333333	1903	0.3806	0.613	0.0064	C>S
0.064901843	0.0642890909090909	0.0650068181818182	-0.000717727272727273	-0.0208333333333333	1902	0.3804	0.6142	0.0054	C>S
0.065207148	0.0649466666666667	0.0652332575757576	-0.000286590909090909	-0.0196969696969697	1926	0.3852	0.609	0.0058	C>S
0.066101652	0.0675993939393939	0.0662013636363636	0.0013980303030303	-0.0215909090909091	1927	0.3854	0.6112	0.0034	C>S
0.066256251	0.0658654545454545	0.0647152272727273	0.00115022727272727	-0.0193181818181818	1959	0.3918	0.6024	0.0058	C>S
0.066481013	0.0665266666666667	0.0655444696969697	0.000982196969696969	-0.0212121212121212	1911	0.3822	0.6118	0.006	C>S
0.069125101	0.0705660606060606	0.0691949242424242	0.00137113636363636	-0.0208333333333333	1948	0.3896	0.607	0.0034	C>S
0.070268034	0.0713048484848485	0.0704044696969697	0.000900378787878787	-0.0200757575757576	1998	0.3996	0.5958	0.0046	C>S
0.070869081	0.0696769696969697	0.0706795454545455	-0.00100257575757576	-0.0234848484848485	1937	0.3874	0.6086	0.004	C>S
0.072001216	0.0728248484848485	0.0725629545454545	0.000261893939393939	-0.0215909090909091	1963	0.3926	0.6036	0.0038	C>S
