start	MeanSel	MeanCont	dFreq_mean	dFreq_med	totalSmore	chanceSmore	chanceCmore	chanceEqual	Direction
0.028943308	0.0289590909090909	0.0299503787878788	-0.000991287878787879	-0.00113636363636364	2287	0.4574	0.5114	0.0312	C>S
0.032267499	0.032185303030303	0.0323138636363636	-0.000128560606060606	-0.000757575757575762	2331	0.4662	0.5082	0.0256	C>S
0.03386124	0.0337589393939394	0.0340234848484849	-0.000264545454545455	-0.00151515151515151	2331	0.4662	0.5126	0.0212	C>S
0.038847545	0.0395890909090909	0.0386587878787879	0.00093030303030303	-0.000757575757575762	2386	0.4772	0.5086	0.0142	C>S
0.039289337	0.0394766666666667	0.0395030303030303	-2.63636363636366e-05	-0.00189393939393939	2327	0.4654	0.5204	0.0142	C>S
0.039390748	0.0399356060606061	0.0396121212121212	0.000323484848484848	-0.00151515151515151	2375	0.475	0.514	0.011	C>S
0.039934363	0.0392583333333333	0.0399599242424242	-0.000701590909090909	-0.00227272727272727	2338	0.4676	0.5192	0.0132	C>S
0.040227669	0.0394774242424242	0.0402077272727273	-0.00073030303030303	-0.00227272727272727	2348	0.4696	0.521	0.0094	C>S
0.041266292	0.0413192424242424	0.0413115909090909	7.65151515151492e-06	-0.00113636363636364	2404	0.4808	0.5088	0.0104	C>S
0.042469817	0.042469696969697	0.0434292424242424	-0.000959545454545455	-0.00227272727272727	2353	0.4706	0.52	0.0094	C>S
0.043049142	0.0432210606060606	0.0431939393939394	2.7121212121212e-05	-0.00151515151515152	2404	0.4808	0.512	0.0072	C>S
0.043489488	0.0435992424242424	0.0435553787878788	4.38636363636361e-05	-0.000757575757575756	2431	0.4862	0.5066	0.0072	C>S
0.044010734	0.0442975757575758	0.0440224242424242	0.000275151515151515	-0.00151515151515151	2384	0.4768	0.5152	0.008	C>S
0.044294076	0.0443563636363636	0.0443965909090909	-4.0227272727273e-05	-0.00113636363636364	2420	0.484	0.509	0.007	C>S
0.045840808	0.0464634848484849	0.0469168181818182	-0.000453333333333334	-0.00151515151515151	2411	0.4822	0.5124	0.0054	C>S
0.045900107	0.0457930303030303	0.0448041666666667	0.000988863636363636	-0.00113636363636364	2426	0.4852	0.5084	0.0064	C>S
0.047142602	0.0473193939393939	0.0473355303030303	-1.61363636363637e-05	-0.00151515151515151	2418	0.4836	0.5106	0.0058	C>S
0.047730765	0.0482490909090909	0.0479706060606061	0.000278484848484848	-0.000757575757575757	2443	0.4886	0.506	0.0054	C>S
0.049876627	0.0501536363636364	0.0493975757575758	0.000756060606060606	-0.000946969696969696	2449	0.4898	0.506	0.0042	C>S
0.049878979	0.049449696969697	0.0499706060606061	-0.000520909090909091	-0.00227272727272727	2399	0.4798	0.5156	0.0046	C>S
0.050113114	0.0510013636363636	0.0497119696969697	0.00128939393939394	0	2494	0.4988	0.4968	0.0044	Same
0.05023462	0.0507851515151515	0.0499578787878788	0.000827272727272727	0	2485	0.497	0.4996	0.0034	Same
0.050242394	0.0498604545454545	0.0499539393939394	-9.34848484848487e-05	-0.00151515151515151	2411	0.4822	0.513	0.0048	C>S
0.051264475	0.0512877272727273	0.0508434848484848	0.000444242424242424	-0.000378787878787876	2469	0.4938	0.5006	0.0056	C>S
0.053166512	0.0536639393939394	0.0540009090909091	-0.000336969696969697	-0.0018939393939394	2404	0.4808	0.5156	0.0036	C>S
0.055263389	0.0552306060606061	0.0553512878787879	-0.000120681818181818	-0.000946969696969696	2448	0.4896	0.506	0.0044	C>S
0.056032171	0.0546660606060606	0.0565862121212121	-0.00192015151515152	-0.00378787878787879	2350	0.47	0.5276	0.0024	C>S
0.058464655	0.0583004545454545	0.0595226515151515	-0.00122219696969697	-0.0018939393939394	2417	0.4834	0.5144	0.0022	C>S
0.059732623	0.0599612121212121	0.0596965151515152	0.000264696969696969	-0.00151515151515151	2427	0.4854	0.5126	0.002	C>S
0.064583333	0.0631995454545455	0.065084696969697	-0.00188515151515152	-0.00321969696969697	2367	0.4734	0.5242	0.0024	C>S
0.064900099	0.0642768181818182	0.0646534848484848	-0.000376666666666667	-0.00132575757575758	2443	0.4886	0.5084	0.003	C>S
0.064901843	0.0656716666666667	0.0644276515151515	0.00124401515151515	-0.000946969696969696	2463	0.4926	0.5062	0.0012	C>S
0.065207148	0.0655815151515152	0.0641904545454546	0.00139106060606061	-0.000378787878787881	2474	0.4948	0.503	0.0022	C>S
0.066101652	0.0651456060606061	0.0651663636363636	-2.0757575757576e-05	-0.00246212121212121	2412	0.4824	0.5148	0.0028	C>S
0.066256251	0.0664965151515152	0.0664225	7.40151515151512e-05	-0.00151515151515152	2433	0.4866	0.5116	0.0018	C>S
0.066481013	0.0661225757575758	0.0663052272727273	-0.000182651515151515	-0.00227272727272727	2432	0.4864	0.5126	0.001	C>S
0.069125101	0.0686365151515152	0.06969	-0.00105348484848485	-0.00151515151515152	2434	0.4868	0.5106	0.0026	C>S
0.070268034	0.0699078787878788	0.0702781060606061	-0.000370227272727273	-0.00132575757575758	2450	0.49	0.508	0.002	C>S
0.070869081	0.0706507575757576	0.0706813636363636	-3.0606060606061e-05	-0.00113636363636364	2437	0.4874	0.509	0.0036	C>S
0.072001216	0.0718566666666667	0.0712720454545454	0.000584621212121212	-0.00227272727272727	2430	0.486	0.513	0.001	C>S
0.078385906	0.0790013636363636	0.0782242424242424	0.000777121212121212	-0.00151515151515151	2454	0.4908	0.5076	0.0016	C>S
0.07891631	0.0777210606060606	0.0795677272727273	-0.00184666666666667	-0.00303030303030304	2400	0.48	0.518	0.002	C>S
