start	MeanSel	MeanCont	dFreq_mean	dFreq_med	totalSmore	chanceSmore	chanceCmore	chanceEqual	Direction
0.028943308	0.028997803030303	0.0290620454545455	-6.42424242424244e-05	-0.000378787878787881	4588	0.4588	0.5042	0.037	C>S
0.032267499	0.0329926515151515	0.0324470454545455	0.000545606060606061	-0.000378787878787879	4727	0.4727	0.503	0.0243	C>S
0.03386124	0.0342451515151515	0.0335746590909091	0.000670492424242424	-0.000378787878787879	4748	0.4748	0.503	0.0222	C>S
0.038847545	0.0392884090909091	0.0385998106060606	0.000688598484848485	-0.00037878787878788	4847	0.4847	0.5034	0.0119	C>S
0.039289337	0.0393959848484848	0.0393522348484849	4.37499999999998e-05	-0.00113636363636364	4784	0.4784	0.5089	0.0127	C>S
0.039390748	0.0399553787878788	0.0394688636363636	0.000486515151515151	-0.000757575757575758	4840	0.484	0.5062	0.0098	C>S
0.039934363	0.0398515151515152	0.0405543181818182	-0.00070280303030303	-0.00227272727272727	4680	0.468	0.5198	0.0122	C>S
0.040227669	0.0401698484848485	0.0400369696969697	0.000132878787878788	-0.000757575757575759	4811	0.4811	0.5071	0.0118	C>S
0.041266292	0.0404492424242424	0.0408999621212121	-0.000450719696969697	-0.00113636363636364	4793	0.4793	0.5106	0.0101	C>S
0.042469817	0.0422131060606061	0.0425028787878788	-0.000289772727272728	-0.00189393939393939	4771	0.4771	0.5128	0.0101	C>S
0.043049142	0.0431806060606061	0.042877803030303	0.00030280303030303	-0.00113636363636363	4843	0.4843	0.5077	0.008	C>S
0.043489488	0.0436583333333333	0.0430676515151515	0.000590681818181818	-0.000757575757575759	4844	0.4844	0.5067	0.0089	C>S
0.044010734	0.0438775757575758	0.043297803030303	0.000579772727272727	-0.00113636363636364	4827	0.4827	0.508	0.0093	C>S
0.044294076	0.0447041666666667	0.0443666287878788	0.000337537878787879	-0.00113636363636364	4830	0.483	0.5095	0.0075	C>S
0.045840808	0.0459702272727273	0.0466000378787879	-0.000629810606060606	-0.00227272727272727	4740	0.474	0.5194	0.0066	C>S
