start	MeanSel	MeanCont	dFreq_mean	dFreq_med	totalSmore	chanceSmore	chanceCmore	chanceEqual	Direction
0.028943308	0.02896765	0.0288413875	0.0001262625	0.000625000000000001	2569	0.5138	0.4852	0.001	S>C
0.032267499	0.032124375	0.032371125	-0.00024675	0.000562500000000004	2558	0.5116	0.4876	8e-04	S>C
0.03386124	0.03407175	0.0340892875	-1.75374999999999e-05	0.000843750000000001	2576	0.5152	0.483	0.0018	S>C
0.038847545	0.0390098125	0.0389848375	2.49750000000001e-05	0.001125	2601	0.5202	0.479	8e-04	S>C
0.039289337	0.0391555375	0.0391492125	6.32500000000009e-06	0.000437500000000007	2542	0.5084	0.49	0.0016	S>C
0.039390748	0.0392740125	0.0393237	-4.96874999999999e-05	0.000593749999999997	2566	0.5132	0.4864	4e-04	S>C
0.039934363	0.0395911625	0.0402542375	-0.000663075	0.0001875	2513	0.5026	0.4964	0.001	S>C
0.040227669	0.0402993125	0.0403292375	-2.99249999999999e-05	0.000937499999999997	2593	0.5186	0.48	0.0014	S>C
0.041266292	0.041282625	0.0412742375	8.3875e-06	0.000875000000000001	2586	0.5172	0.4818	0.001	S>C
0.042469817	0.042306175	0.0428050625	-0.0004988875	-0.0001875	2473	0.4946	0.5048	6e-04	C>S
0.043049142	0.04272705	0.043062125	-0.000335075	0.000750000000000001	2567	0.5134	0.4856	0.001	S>C
0.043489488	0.043503475	0.0437180625	-0.0002145875	0.000375	2547	0.5094	0.4894	0.0012	S>C
0.044010734	0.04409135	0.0442005375	-0.0001091875	0.000687500000000001	2569	0.5138	0.485	0.0012	S>C
0.044294076	0.0444003375	0.04509665	-0.0006963125	0.000125	2510	0.502	0.497	0.001	S>C
0.045840808	0.0460154	0.045794525	0.000220875	0.00109375	2599	0.5198	0.4798	4e-04	S>C
0.045900107	0.045570175	0.04614055	-0.000570375	0	2496	0.4992	0.4992	0.0016	Same
0.047142602	0.0469701125	0.0472509125	-0.0002808	0.000687500000000001	2545	0.509	0.4904	6e-04	S>C
0.047730765	0.047645175	0.0471912125	0.0004539625	0.0018125	2657	0.5314	0.4672	0.0014	S>C
0.049876627	0.050235	0.0493242125	0.0009107875	0.0018125	2661	0.5322	0.466	0.0018	S>C
0.049878979	0.0500336875	0.050050725	-1.70375e-05	0.000687500000000004	2563	0.5126	0.4868	6e-04	S>C
0.050113114	0.04997195	0.05030265	-0.0003307	0.0003125	2519	0.5038	0.4962	0	S>C
0.05023462	0.050316025	0.050405875	-8.98500000000001e-05	0.000968749999999997	2593	0.5186	0.4808	6e-04	S>C
0.050242394	0.0498748375	0.050237575	-0.0003627375	0.000937500000000001	2577	0.5154	0.4834	0.0012	S>C
0.051264475	0.0513316375	0.051633825	-0.0003021875	0.000625000000000001	2551	0.5102	0.4886	0.0012	S>C
0.053166512	0.0532604625	0.053130425	0.0001300375	0.000812500000000004	2580	0.516	0.4832	8e-04	S>C
0.055263389	0.055033575	0.0549081625	0.0001254125	0.00125	2596	0.5192	0.4798	0.001	S>C
0.056032171	0.05586005	0.0561549625	-0.0002949125	0.0005625	2553	0.5106	0.489	4e-04	S>C
0.058464655	0.059094325	0.05860445	0.000489875	0.000875000000000004	2576	0.5152	0.4836	0.0012	S>C
0.059732623	0.0598628375	0.06001765	-0.0001548125	0.000937500000000008	2575	0.515	0.4836	0.0014	S>C
0.064583333	0.0648578	0.06499625	-0.00013845	0.0011875	2593	0.5186	0.4808	6e-04	S>C
0.064900099	0.064917225	0.0651412	-0.000223975	0.000531249999999997	2555	0.511	0.488	0.001	S>C
0.064901843	0.064992625	0.0648515375	0.0001410875	0.000625000000000001	2538	0.5076	0.4912	0.0012	S>C
0.065207148	0.0652128375	0.065016025	0.0001968125	0.000281250000000004	2522	0.5044	0.4952	4e-04	S>C
0.066101652	0.0659305	0.0658650375	6.54625000000001e-05	0.000406249999999997	2521	0.5042	0.4944	0.0014	S>C
0.066256251	0.065880725	0.0660973125	-0.0002165875	0.001125	2597	0.5194	0.4798	8e-04	S>C
0.066481013	0.0661983625	0.0665213875	-0.000323025	0.000218749999999993	2513	0.5026	0.4968	6e-04	S>C
0.069125101	0.06911185	0.0687000125	0.0004118375	0.0005625	2542	0.5084	0.4906	0.001	S>C
0.070268034	0.0700912375	0.0707908	-0.0006995625	-0.00025	2483	0.4966	0.503	4e-04	C>S
0.070869081	0.0709050125	0.070652875	0.0002521375	0.000375000000000007	2526	0.5052	0.4946	2e-04	S>C
0.072001216	0.0719198	0.0722443	-0.0003245	0.000562500000000007	2544	0.5088	0.4908	4e-04	S>C
0.078385906	0.07832665	0.078857725	-0.000531075	0.000437500000000007	2536	0.5072	0.4916	0.0012	S>C
0.07891631	0.0787741375	0.079070475	-0.0002963375	0.000312500000000007	2524	0.5048	0.495	2e-04	S>C
0.079705675	0.08012175	0.079329525	0.000792225	0.00231250000000001	2651	0.5302	0.4694	4e-04	S>C
0.081120362	0.0810869	0.081396775	-0.000309875	0.001	2566	0.5132	0.4864	4e-04	S>C
0.081233304	0.081053575	0.08115485	-0.000101275	0.000562499999999994	2541	0.5082	0.4906	0.0012	S>C
0.08901289	0.0889853875	0.0888557875	0.0001296	0.000406249999999997	2521	0.5042	0.4944	0.0014	S>C
0.089251431	0.0893401875	0.0890529875	0.0002872	0.00137500000000001	2597	0.5194	0.4796	0.001	S>C
