Age_old_vs_young.baseMean	Age_old_vs_young.log2FoldChange	Age_old_vs_young.lfcSE	Age_old_vs_young.stat	Age_old_vs_young.pvalue	Age_old_vs_young.padj	Regime_Sel_vs_Cont.baseMean	Regime_Sel_vs_Cont.log2FoldChange	Regime_Sel_vs_Cont.lfcSE	Regime_Sel_vs_Cont.stat	Regime_Sel_vs_Cont.pvalue	Regime_Sel_vs_Cont.padj
DMPOGOR11	392.157693732789	0.279621380645906	0.117730750779923	2.37509213857482	0.0175445700526251	0.0344046496925194	392.157693732789	-0.438248239637601	0.117732068066623	-3.72242029579912	0.000197322206997322	0.00209547093530913
DM33463	447.21103990649	0.569798119308063	0.101837676070124	5.59516027168285	2.20418056244362e-08	1.6326811146743e-07	447.21103990649	-0.199804128499307	0.101835109057616	-1.96203578852419	0.0497583177430945	0.156607511352442
DM88	536.64446328864	0.206660017119479	0.105969349456384	1.95018671134278	0.0511538690789291	0.087649266895461	536.64446328864	-0.145643422732932	0.105969150220234	-1.37439455190726	0.169319226604686	0.365128719307201
GYPSY6	366.737010764736	0.773871399668032	0.134902843693549	5.7365091682277	9.66478204977437e-09	7.78891717935402e-08	366.737010764736	-0.299831850324475	0.13489646904029	-2.22268123441336	0.0262373021556143	0.0979558996244865
DME278684	448.57362398779	0.372532449128313	0.133459206855835	2.79135818280958	0.00524873530410327	0.0117783804994731	448.57362398779	-0.283024492015702	0.133459204435105	-2.12068169605584	0.0339485978834775	0.11860275769587
DMTRDNA	444.435836632851	0.527547354256838	0.161321219076168	3.2701671688196	0.0010748394499569	0.00283611672506882	444.435836632851	-0.0982581550133268	0.161321078178035	-0.609084418000781	0.542468485279885	0.738349144680044
GYPSY2	291.740327338326	0.727534598968828	0.140245402145134	5.18758253633109	2.13041513618638e-07	1.263133054138e-06	291.740327338326	-0.250945477726189	0.1402382459392	-1.78942253623869	0.0735467925880346	0.206884203009052
DIVER2	433.726335760784	0.54353608952662	0.0965781391111011	5.62794121453665	1.8237321597966e-08	1.37293350092796e-07	433.726335760784	-0.261039223480521	0.0965755077712843	-2.70295470875213	0.0068726110290353	0.0353274930635148
TC1	415.659666299229	0.53819280642858	0.075121954238606	7.16425460284414	7.82109305772567e-13	1.37408691434681e-11	415.659666299229	-0.0733167239557481	0.0751207916967706	-0.975984441853265	0.329072174290978	0.557276120363569
McCLINTOCK	587.957315569369	0.47851017058967	0.0627049547633549	7.63113811971544	2.32690212456699e-14	5.28194930483204e-13	587.957315569369	-0.100924157372708	0.0627053459564074	-1.60949845397345	0.107507392788687	0.270132276185819
GTWIN	313.619700926295	0.539169178876105	0.230325793354667	2.34089795599169	0.0192374242763041	0.0373138492055978	313.619700926295	0.0709194845662679	0.230326387474932	0.307908639317268	0.75815185174454	0.879064283915055
INVADER	429.050081681643	0.54453635237192	0.11019019657716	4.94178583292221	7.74102232412884e-07	4.07309990057468e-06	429.050081681643	-0.272898868658122	0.110188379454771	-2.47665742983487	0.0132619123528143	0.0586930712204987
G4_DM	352.768892753594	0.594607481928798	0.10042222976075	5.9210742815153	3.19845341315186e-09	2.81522858023965e-08	352.768892753594	-0.227037067332414	0.100416676766302	-2.26094982072344	0.0237623645264772	0.0911367796095811
DMHFL1	374.023948435125	0.383791842422644	0.146928541722081	2.61209862920028	0.0089988288853767	0.0190582524256817	374.023948435125	-0.182959413199804	0.146928614689575	-1.24522655839608	0.213048482774896	0.424446165206432
STALKER4	416.507081943899	0.786725869916018	0.107186420466071	7.33979049300421	2.13928461240038e-13	4.1636933496088e-12	416.507081943899	-0.101200516665055	0.107177092119795	-0.944236447019298	0.345048834151998	0.5706722457391
GYPSY10	382.094278925598	0.39512772361352	0.083737995012662	4.71861935019787	2.37450645778166e-06	1.12898831225252e-05	382.094278925598	-0.172631090412301	0.0837383765910249	-2.06155286787353	0.0392503252203733	0.131754167259953
G5_DM	361.298173352767	0.495272010122994	0.164096995641912	3.01816622653936	0.00254309369374048	0.0061394960438565	361.298173352767	-0.694259035831064	0.16410039710936	-4.23069686643352	2.32968449274449e-05	0.000364302709567179
TARTC	361.366597003521	0.207725747661787	0.242982992882954	0.854898300482492	0.392607451557694	0.489432319564231	361.366597003521	-0.730541564405874	0.242984252792476	-3.00653872014416	0.00264240398766391	0.0168634564749721
INVADER6	333.248409245072	0.75636218976839	0.119275795737157	6.34128814730487	2.27851921530107e-10	2.48076562773414e-09	333.248409245072	0.0445135838561328	0.119270735243695	0.373214634463199	0.708988705073811	0.84969992663345
DMBARI1	279.583219146002	1.69377982280783	0.210103215320184	8.06165588768654	7.52678298306942e-16	2.25129951864962e-14	279.583219146002	0.227365590453287	0.210068548794384	1.08233998739066	0.2791014839393	0.504509137723464
DMTHB1	322.603515543272	0.392890721767882	0.0746128799134361	5.26572251632297	1.39639067588947e-07	8.60753496387378e-07	322.603515543272	-0.146839247050572	0.0746147491290432	-1.96796543263343	0.049072015159647	0.155325010105227
QBERT	307.09186540406	0.752955122833949	0.113015461293158	6.66240808309239	2.69376795715852e-11	3.51715601437592e-10	307.09186540406	-0.384939275047695	0.113002721891736	-3.4064602038214	0.000658111440621044	0.00565122027045816
INVADER3	319.537055815692	0.344172274084817	0.0874280568001971	3.9366341501947	8.26324358214154e-05	0.000283981431656508	319.537055815692	-0.125860859469857	0.0874304397883648	-1.43955423047759	0.149993556633202	0.338124068822444
G5A	312.190120887616	0.120525413579845	0.0843192391911791	1.42939398808586	0.152891025383337	0.224164163765239	312.190120887616	-0.270433051514419	0.0843106424086502	-3.20757906461727	0.00133857260850093	0.0099592185729869
TRANSIB3	283.666200368831	0.775367431145268	0.109879308455023	7.05653723205448	1.70702918682708e-12	2.79351043180882e-11	283.666200368831	-0.276070438253804	0.109859229851069	-2.51294714725434	0.0119727270481718	0.053879286648959
GYPSY3	213.342186244308	1.01529316425897	0.122006547062742	8.3216285412688	8.67628556579795e-17	3.02088380246663e-15	213.342186244308	-0.346282382296839	0.121941500237032	-2.83974185674056	0.00451500543771638	0.0254492507176509
STALKER	242.464853966653	0.801891049376368	0.126268200231834	6.35069675424263	2.1434186766869e-10	2.34321403984496e-09	242.464853966653	-0.0345275134096249	0.126252337645026	-0.273480190970429	0.784484117480921	0.894996610538479
DOC5	183.875208424231	1.45878915497048	0.134759347325329	10.8251426259045	2.61671441348484e-27	4.42854072256865e-25	183.875208424231	-0.469117302623101	0.134549765681789	-3.48657093712497	0.000489255609943334	0.00444385020716194
JOCKEY2	184.127329015861	0.337257705043758	0.091494000310748	3.68611825800931	0.000227700574590106	0.000706022984130246	184.127329015861	-0.075186042290896	0.0915060918692738	-0.821650676528808	0.411275738508992	0.629455405441532
FB	184.672335002908	0.677391935894804	0.2959856712869	2.28859705589668	0.0221027751219816	0.0421560775151061	184.672335002908	-0.663575720337683	0.295986397122344	-2.24191289460981	0.0249670024949985	0.094643839908741
DMAURA	189.099696277553	0.555292687513463	0.176522350259672	3.1457358611904	0.00165669552734076	0.00418319531643927	189.099696277553	-0.173831734099278	0.176520151675566	-0.984769911249405	0.324737103370891	0.553439779741085
FW2	205.392833394888	0.4103641390479	0.0986650895380143	4.15916248563067	3.19416624656185e-05	0.000118958224837136	205.392833394888	-0.17422597956975	0.0986652809429696	-1.76582864716572	0.0774246008506551	0.214142927880277
MARINER2	159.829384728115	0.331986387988058	0.0899700775026121	3.6899644548869	0.000224285388421769	0.00069672296542729	159.829384728115	-0.0880787096870775	0.0899842903602159	-0.978823184963618	0.327667351858032	0.556237472278149
G2	107.529898497117	0.984263633486209	0.150292810666922	6.54897349459732	5.79339116940779e-11	7.09969201970506e-10	107.529898497117	-0.783468641765779	0.150250063197109	-5.21443136258763	1.84381956702284e-07	6.10194742848895e-06
DOC4	162.365820886794	0.481286244170119	0.194438019867854	2.47526818313216	0.0133136160912518	0.0269865141206848	162.365820886794	-0.225695798295644	0.194436961392654	-1.16076591960242	0.245737105987698	0.464382347287001
HEL	145.306402946146	0.667817863502325	0.139860646204465	4.77488043724629	1.79814053277641e-06	8.77734170252667e-06	145.306402946146	-0.178991891401412	0.139841167949374	-1.27996564978785	0.200557216967546	0.408259742822183
FROGGER	125.767513606419	0.0829463730076141	0.101965623942057	0.813473892483113	0.415946408852734	0.513310271955053	125.767513606419	-0.184122872311365	0.101927290397735	-1.80641388182587	0.0708537148216358	0.201427634949026
BS3	111.393048184685	0.79916946444599	0.123974381177656	6.44624685241036	1.14653866413217e-10	1.3236542210079e-09	111.393048184685	-0.112401269804741	0.123882221810533	-0.907323651142196	0.364235670640424	0.58849920440634
TC3	120.67173730659	0.599518646484645	0.0931215316513439	6.43802390116714	1.21038944111003e-10	1.38789938487488e-09	120.67173730659	-0.260989979554937	0.0930591138811486	-2.80456119417022	0.00503851222439216	0.027733597546366
G6_DM	90.1918606825879	1.71963703093968	0.496958610613706	3.46032243775001	NA	NA	90.1918606825879	0.910550608212278	0.496948662359295	1.83228304487104	NA	NA
HOPPER2	104.758470951855	0.813616633793409	0.154182239821947	5.27698024579869	1.3133003720979e-07	8.1706961260814e-07	104.758470951855	0.140531703211698	0.154162005868809	0.91158455301425	0.36198745696333	0.586567967470575
TRANSIB4	84.6973878101718	0.384561058228356	0.0987060215663076	3.89602429645105	9.77845838570427e-05	0.000330647416835777	84.6973878101718	-0.266511589174554	0.0987037147499778	-2.70011711159649	0.00693150716731616	0.035486350352976
RT1C	68.0756404224255	0.360597631000685	0.120929102689139	2.98189288584765	0.00286472209258067	0.0068456361711892	68.0756404224255	-0.342949576036184	0.120941007902727	-2.83567651686862	0.00457287371910316	0.025656450534792
DMTOM1_LTR	59.4910628411509	0.417490915191788	0.105976273173964	3.93947534375418	8.16599935415733e-05	0.000280883486918146	59.4910628411509	-0.228303076191801	0.105961197897729	-2.15459131003928	0.0311938296569973	0.111216400670414
GYPSY8	75.7230226414784	0.517979790413909	0.112646308182179	4.59828465550949	4.25983711616077e-06	1.91249235201711e-05	75.7230226414784	-0.102179685799723	0.112631136153951	-0.907206384387856	0.364297668200602	0.58852825324336
GYPSY5	75.2212931778273	1.13193688889601	0.17883836738405	6.32938505005031	2.4614018007318e-10	2.6646916660554e-09	75.2212931778273	0.118686764700011	0.178649351191691	0.664355979511283	0.506462500249584	0.707888672405423
INE1	70.103112214889	0.423055375661447	0.103148772052564	4.10140971378565	4.10640730267494e-05	0.000149395008535412	70.103112214889	-0.0578410247819075	0.103201576425691	-0.560466484962614	0.575161293802101	0.76057771882173
DMZAM	71.7165350450491	1.38836933923948	0.135083635374932	10.2778499807618	8.86838200320955e-25	1.05866310163314e-22	71.7165350450491	-0.730782698986177	0.134084396976913	-5.45016956083267	5.03218192483142e-08	1.97373064829137e-06
LOOPER1_DM	61.6156796659417	0.722464604437325	0.16472316805111	4.38593194257385	1.15490230075307e-05	4.74525008023005e-05	61.6156796659417	-0.459789602953509	0.164654427406004	-2.7924521083163	0.00523102104873755	0.028546429151682
S2	60.9300038778606	0.32579507922541	0.118658336015428	2.74565690170348	0.00603898827492344	0.0133699740413523	60.9300038778606	-0.233693249962093	0.118658191893348	-1.96946579273802	0.0488996269850108	0.15492606938142
GYPSY11	71.9136314182692	0.583834032718079	0.131321844976748	4.445825695043	8.75549197691144e-06	3.68463732235776e-05	71.9136314182692	-0.486371331857169	0.131319896993342	-3.70371393058456	0.000212465845016829	0.0022258744898898
G3	57.5264511287937	0.509463077799566	0.132193420026835	3.85392160741544	0.000116240827383439	0.000385546976461567	57.5264511287937	-0.38119880791021	0.132178750704042	-2.88396437309157	0.00392703178366817	0.022788374543248
TRANSIB1	61.3598914506754	0.803706362331939	0.159757507082325	5.03078933197036	4.88464640475404e-07	2.67764339612798e-06	61.3598914506754	-0.232491971847558	0.159597901375872	-1.45673577060397	0.145189331678749	0.330766039587293
DMREPG	25.6536467055499	1.6331304313349	0.405465710517375	4.02778925313073	5.63037771097699e-05	0.000199465156321575	25.6536467055499	0.373717761179241	0.405012337377486	0.922731795280901	0.356146992040125	0.581281409152893
GYPSY9	47.3544264486682	0.245680879675405	0.147688620052908	1.66350582453402	0.0962112259173767	0.150678703351918	47.3544264486682	-0.0588401079889651	0.147726093705399	-0.398305448367886	0.690405044807786	0.838807965793834
R1-2	51.111958158964	0.528408918755253	0.146870148426844	3.5977965870883	0.000320924446566178	0.000956565027984672	51.111958158964	-0.283349527695685	0.146825434429401	-1.92983953220945	0.0536267235706113	0.165471796477977
FW3	37.3823625197672	0.4744715417075	0.132591242085967	3.57845310325905	0.000345633870437366	0.00102205703806245	37.3823625197672	-0.202356594128082	0.132535923128604	-1.52680563390899	0.126809350241055	0.301841020602263
AF541951	39.0826268571605	0.427220013557098	0.164328078412094	2.59979924116033	0.00932783127330245	0.019680148985964	39.0826268571605	-0.613053304415903	0.164535544037272	-3.72596272740333	0.00019457115651291	0.00207456647445893
OSV	35.5975869129391	-0.0183462699362704	0.149419253899923	-0.12278384115449	0.902278270321065	0.930176611472946	35.5975869129391	-0.194516846649858	0.149109990876049	-1.30451920429366	0.192056616034485	0.397553329676585
INVADER5	19.9948157048751	0.505588747188364	0.207454126404646	2.43711106619396	0.01480513123755	0.0296279905172943	19.9948157048751	-0.188679948352496	0.207380264735704	-0.909825959538432	0.362914301828924	0.587571350866156
Q	19.5519847119	0.670400998054972	0.184504546685982	3.63352020368346	0.000279580543900279	0.000847040986165134	19.5519847119	-0.256295615219356	0.184002134528015	-1.39289479373042	0.163651607031142	0.356529572430564
