#SYMBOL	FBIDKEY
FBgn0263198	Acn
FBgn0087035	AGO2
FBgn0250816	AGO3
FBgn0000146	aub
FBgn0037205	BoYb
FBgn0037844	CG4570
FBgn0000928	fs(1)Yb
FBgn0001206	Hmr
FBgn0001233	Hsp83
FBgn0034217	Lhr
FBgn0016034	mael
FBgn0002736	mago
FBgn0039302	Nup358
FBgn0003028	ovo
FBgn0031401	papi
FBgn0004872	piwi
FBgn0037707	RnpS1
FBgn0051755	SoYb
FBgn0003483	spn-E
FBgn0027529	tapas
FBgn0033921	tej
FBgn0041775	tral
FBgn0033378	tsu
FBgn0035121	Tudor-SN
FBgn0263143	vret
