Ins	rep	study	regime	diet	1360	412	ACCORD	AF222049	AF541951	BAGGINS	Beagle	Beagle2	BLOOD	BS	BS3	CIRC	DIVER2	DM_ROO	DM06920	DM23420	DM33463	DM88	DMBARI1	DMBLPP	DMCOPIA	DMCR1A	DMDM11	DME010298	DME278684	DME487856	DME9736	DMGYPF1A	DMHFL1	DMIFACA	DMIS176	DMIS297	DMLINEJA	DMMDG3	DMPOGOR11	DMREPG	DMRER1DM	DMRER2DM	DMRTMGD1	DMTHB1	DMTN1731	DMTOM1_LTR	DMTRDNA	DMU89994	DMW1DOC	DMZAM	DOC2	DOC3	DOC4	DOC5	F	FROGGER	FW2	FW3	G2	G3	G4_DM	G5_DM	G5A	G6_DM	G7	GTWIN	GYPSY10	GYPSY2	GYPSY3	GYPSY4	GYPSY6	GYPSY7	HEL	HOPPER2	INVADER	INVADER2	INVADER3	INVADER6	IVK	JOCKEY2	JUAN	LOOPER1_DM	MARINER2	McCLINTOCK	OPUS	OSV	PPI251	QBERT	QUASIMODO	ROOA_LTR	ROVER	ROXELEMENT	RT1B	S2	SPRINGER	STALKER2	STALKER3	TABOR	TAHRE	TC1	TC1-2	TC3	Tinker	TIRANT	TRANSIB1	TRANSIB2	TRANSIB4
1335.037	Cont_Rb	Fabian	Cont	NA	38.205	14.526	4.704	6.865	0.856	27.79	11.607	6.815	9.835	8.055	11.044	11.863	10.26	59.512	6.698	9.962	12.17	11.28	19.971	9.843	18.22	43.779	8.014	12.878	17.336	11.179	11.427	3.968	12.575	12.668	12.951	17.572	27.123	12.008	14.521	5.028	159.251	18.272	13.889	9.105	9.23	3.257	10.619	4.366	50.294	2.494	13.146	17.765	3.926	6.147	83.873	1.965	2.511	1.801	12.197	1.235	5.735	6.795	6.399	9.928	0.775	1.953	3.179	6.223	3.556	11.421	6.541	3.626	3.848	3.044	6.688	10.649	5.167	1.94	11.952	2.91	6.188	1.389	8.671	4.371	15.816	1.845	14.623	4.058	10.465	6.787	6.199	17.53	39.217	3.144	6.772	5.393	8.397	6.218	6.186	14.321	7.271	2.032	11.362	1.983	1.718	8.166	1.526
1668.25379123705	CP1	Hoedjes	Sel	Cont	69.0421511	20.0303929	6.4964006	17.0448291	1.3035047	25.8989252	14.1976869	8.0013075	16.5370965	8.1806838	9.9321682	19.527098	8.7349666	71.7623621	13.3261494	8.9298864	23.2740893	12.6434416	34.9003299	14.4111504	26.3855676	62.6883013	8.7413267	15.4612504	11.7913412	13.689374	18.5791618	5.4801795	26.3532163	22.6343798	23.1940594	29.3643481	24.8728215	12.1891663	20.6066247	9.6618714	136.6895105	17.7532853	17.5571041	14.3415299	7.9604942	6.3161415	17.4498174	10.5421437	50.1719181	2.9430758	13.2002203	20.4456357	4.5514848	8.9899255	89.7569329	1.8353133	3.0442782	2.2390255	9.8202743	1.6567876	9.1240124	6.8981705	6.7716058	6.4806288	0.9818054	2.8970301	4.3833092	6.0992763	3.1599168	14.7273732	8.454942	4.976484	4.3401959	4.7025712	10.7047669	18.6717287	7.0881658	2.523001	14.9510874	3.9612421	11.2298678	2.4696295	10.760693	6.9937457	14.350386	1.4086027	23.4712779	6.0623196	25.5157416	8.8245579	7.1314074	13.5613382	29.9706411	5.1522346	4.9033969	5.4976457	9.7780618	6.8012787	9.7470537	18.3582329	12.8683595	3.8293259	10.0586846	3.9201171	3.3377365	14.8578674	2.7808889
1583.68839389845	CP2	Hoedjes	Sel	Cont	65.3129724	18.7086205	6.8553448	16.0489074	1.1669906	24.6872219	13.7709916	7.7045864	15.3141676	8.4673983	9.8432235	18.3589768	8.4039913	69.2035772	16.6953819	8.708358	21.5808669	11.6575373	29.903125	14.4904656	24.786204	60.3023973	8.4213219	14.2998981	12.1520127	13.2815393	16.9302386	5.1339082	25.1379074	20.5596686	21.0181004	27.7761114	24.5200759	12.1268989	18.5143437	8.5222706	126.7269746	17.4434696	17.7118251	14.1348475	7.3645975	6.0632561	17.7375519	9.4336036	47.6197448	2.3554217	11.996873	20.25553	4.3283909	8.703724	87.433034	1.6243238	3.0026746	2.2668898	8.3318337	1.6076267	8.7505848	6.3040597	6.4105822	5.5567767	0.9765747	2.3966311	4.1515724	5.7259776	2.9355934	14.0956832	7.315289	4.6660128	4.3374738	4.6812097	9.3561595	17.0020297	6.1446176	2.2703019	14.4406886	3.6387879	10.3716466	2.3668219	10.2656985	6.4300905	15.3550295	1.4036591	19.8205714	5.8868318	22.9697704	8.2322437	6.8455038	12.8479323	27.5007105	4.8318069	4.6041313	4.198319	8.9520672	6.0252187	11.3293355	17.7129748	12.6657281	3.5512754	10.6173377	5.1834037	3.1059958	13.404885	2.6980712
1657.77841361322	CP3	Hoedjes	Sel	Cont	71.132459	19.66156	6.919556	17.198439	1.251361	25.283203	13.900143	8.381709	15.972752	8.933654	9.957464	18.43429	8.812897	69.93078	17.677261	8.537179	23.08093	12.236392	34.189702	14.511284	25.08204	63.283818	8.623253	14.622435	12.078778	14.549256	19.969752	5.043668	25.374185	21.457822	21.799916	28.536706	24.207877	12.983139	19.198575	8.498896	127.639925	18.745673	18.255496	14.759187	7.734581	6.807924	18.66778	10.406666	49.924275	2.715145	12.829761	20.652461	4.635886	8.924317	89.495705	1.952745	2.925118	2.383052	8.900657	1.645218	9.414575	6.828787	6.832516	6.344395	1.056445	2.968947	4.338034	6.005299	3.115637	14.632887	7.771128	4.854722	4.647357	4.420331	10.173492	18.84107	6.785487	2.234792	14.673713	3.779065	10.662364	2.561846	11.116421	6.732492	15.007583	1.449246	21.112394	5.923539	25.760019	8.933011	8.47772	13.715042	29.069206	5.246621	4.743744	5.301342	9.225172	6.048387	10.744268	18.582981	13.264441	3.962892	10.392868	5.420125	3.273971	14.932282	2.864837
1617.05925808617	CP4	Hoedjes	Sel	Cont	68.404044	18.31127	6.517798	14.44968	1.223515	25.060091	14.611949	7.666321	15.786284	8.559255	10.07958	18.13652	8.960425	73.698457	12.135604	8.011176	22.2047	11.791794	34.033123	14.197309	22.531813	62.288384	9.606845	14.58658	12.628308	12.942464	18.020646	4.860505	24.454921	20.694667	22.35023	26.241417	22.769839	14.161704	17.441313	8.767974	125.641025	17.419465	18.308439	14.339006	8.181682	6.508939	19.060539	10.757644	49.465075	2.831434	12.75766	20.389083	4.536319	8.833971	90.424084	1.882868	2.975389	2.348615	8.973519	1.592285	9.183707	6.941499	6.712542	7.211956	1.020257	2.537615	4.411917	6.022911	3.050954	14.135312	7.300631	4.916789	4.438353	4.516515	9.898411	18.72642	7.249979	2.245944	13.868674	3.668498	10.529434	2.396051	10.810649	6.301524	14.212885	1.478892	19.366001	5.965445	24.441054	8.798522	7.643251	13.501274	29.242543	4.95755	4.725723	4.193569	9.439739	6.21424	8.632979	18.054833	12.964424	3.935006	10.489283	5.189116	3.236734	14.777755	2.888546
1768.14521189529	HE1	Hoedjes	Cont	High	73.155888	17.995784	6.609896	16.817651	1.228863	27.765585	15.134565	7.915531	18.429602	8.862395	10.576898	21.684981	8.994387	71.720487	11.036187	9.989683	24.521123	12.628735	39.064743	16.699425	25.843866	65.991228	9.971282	16.129343	12.858825	15.368705	19.510731	4.666336	24.478658	23.450038	24.018988	31.671203	23.591369	14.179265	19.827564	10.548499	166.257016	25.318374	17.957781	14.659335	8.613002	6.982868	20.027041	11.134492	53.097848	3.089154	14.004577	21.605745	4.724423	9.595911	99.051622	1.996217	3.063834	2.436097	10.391282	1.772381	9.709416	7.442093	7.251097	6.489728	1.015801	2.630191	4.682	6.485352	3.089339	15.561611	8.681561	5.151651	4.84361	4.830728	10.517306	19.325095	7.175701	2.315138	16.770563	4.069254	11.382381	2.622488	11.408713	7.403097	17.892809	1.578928	18.676202	6.391559	25.897464	8.986885	8.217771	13.654907	32.092331	5.103609	5.054817	5.150011	10.97332	6.770489	5.672011	18.68354	13.206371	3.932759	11.349063	4.353654	3.383484	15.276917	2.95149
1654.8659491956	HE2	Hoedjes	Cont	High	70.0015837	19.4358369	5.9169865	14.5453401	1.2062415	25.9165049	13.67748	7.2281165	19.7711857	7.9627126	9.7607447	19.9973321	8.1923	69.2993927	11.8108343	9.3434904	22.5378278	11.7301575	32.6159896	13.9083035	27.5607159	61.7879087	9.0911192	15.7753191	11.9405769	14.1725568	17.943504	4.8472521	26.1968219	23.8042469	24.0993768	26.9659139	23.2135171	12.9805361	18.1634866	10.0576585	142.1536843	19.1454666	18.6477747	14.0808131	8.2807762	6.3342805	17.9018983	10.4669651	48.0291989	3.1414025	12.6481529	20.2150932	4.4605683	8.9624404	92.2622929	1.8631522	2.9446438	2.3167899	9.5952653	1.6604397	9.1925617	6.6436322	6.7782232	7.0708595	0.8669463	2.2826914	4.1349639	6.1063102	3.018954	14.1954105	7.2731453	4.7121792	4.6555437	4.5620741	10.3249616	17.894854	6.7561515	1.9556436	14.7303295	3.9224816	11.3286197	2.4514918	10.7641963	6.2476462	14.6903418	1.4199747	19.9016433	6.0832506	25.2998771	8.5813077	7.548848	13.0278068	29.9516099	4.9571942	4.0502241	4.7094219	9.8806855	6.1604997	7.2019057	18.0486068	12.7643327	3.8172909	10.0379516	4.9558867	3.1388293	14.7977736	2.9183987
1654.90876878918	HE3	Hoedjes	Cont	High	69.633634	17.180634	6.162824	14.431073	1.202102	25.803689	15.539352	7.487926	19.569	8.24841	9.801999	20.230367	8.542701	71.965124	8.791891	8.183837	22.842355	12.307493	34.390796	14.737725	26.14526	62.455349	9.260838	15.189533	13.097865	13.693048	18.64029	5.291218	25.496575	22.734975	22.551279	28.613074	24.561209	12.22191	19.59355	10.202103	138.396656	20.191075	18.287742	14.283309	7.322792	6.474376	17.955033	11.58071	46.864801	2.786199	12.988868	21.104373	4.467597	9.062402	90.99169	1.763639	3.020554	2.287548	9.451832	1.72725	8.972911	6.710439	6.705308	6.630541	1.030933	2.767431	4.311762	6.274624	3.207201	14.703351	7.98372	4.825383	4.920501	4.78744	10.219982	18.091889	6.268386	2.129157	14.486812	3.772086	11.667766	2.437886	10.929961	6.754463	16.629524	1.514977	18.659656	6.352151	23.420288	8.703708	7.75092	13.601695	29.87503	5.153694	5.332433	5.254773	10.019126	6.315077	4.582239	17.910853	12.842717	3.581585	10.236652	4.483844	3.156517	14.203205	2.873373
1641.81478239586	HE4	Hoedjes	Cont	High	69.2826269	17.189226	5.8099969	15.046546	1.2038374	25.6035085	14.3072363	7.5539958	19.5962964	8.3564732	9.4873196	20.1893344	8.3305884	71.2210062	9.2279502	8.3290462	22.7790513	11.980772	33.8520608	15.0116929	26.8578184	61.2009389	9.4476561	14.8686656	12.5808154	13.1774903	18.6389188	5.1963552	26.2246066	24.5234936	22.4907263	28.6678982	24.0541526	12.1590243	19.160943	10.0769135	134.3794201	19.6631785	19.121927	14.5677532	7.126858	6.5241049	18.2576997	11.68254	46.8471401	2.7499693	12.7691992	20.4135008	4.3202608	9.0731348	91.2098014	1.8275252	2.9544986	2.2717905	9.6155828	1.6442017	9.04868	6.5738668	6.5977758	6.4842855	0.9796166	2.675946	4.1752103	6.047491	3.2086974	14.3914812	7.8573407	4.7667572	4.7736986	4.6202775	10.0199377	17.9932209	6.2418891	2.1693259	14.3794104	3.666918	11.5496782	2.4586778	10.7916996	6.6196504	16.4905429	1.4474925	19.8683698	6.0081949	24.1647838	8.4280718	7.3495512	13.5664698	28.8916465	4.9638461	4.7758269	5.4806494	9.4679866	6.3300121	4.6230842	17.9234112	12.541115	3.8277912	10.7225859	4.7621202	3.2707185	14.0747722	2.8452459
1537.81000365007	HP1	Hoedjes	Sel	High	64.166361	17.223894	6.08408	15.043148	1.103837	24.172883	12.65639	7.074856	15.88225	8.170419	9.176236	17.073528	8.444586	65.792655	14.276627	8.016972	20.612351	11.193219	28.964387	13.84062	22.597046	57.862627	7.970326	13.594928	11.232177	13.305321	17.11136	4.746633	24.154914	20.647309	21.861634	27.39884	23.735653	12.930285	17.005008	8.142337	131.018349	15.961022	17.335009	14.134628	6.935108	5.84368	17.8295	10.351083	43.399299	2.532326	11.605102	18.703503	4.337269	8.149	85.440983	1.764582	2.757722	2.113648	7.929578	1.465945	8.778016	6.462461	6.295209	5.839896	0.908031	2.554704	3.837318	5.678907	2.855237	13.461619	6.997901	4.393122	4.44997	4.736778	8.914494	16.98026	6.187071	2.112698	13.530334	3.614108	9.595868	2.267111	10.072188	6.367132	14.854462	1.409996	20.31746	5.363133	21.174297	8.113103	7.249558	12.589456	27.669932	4.742552	4.100668	4.745369	8.030446	5.935084	8.795536	17.521074	11.927502	3.536104	9.733768	4.956439	3.024044	13.145665	2.667798
